,epoch,loss,accuracy,macro_f,precision,recall,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,split,seed,dropout_rate,embedding_type,max_length,arch_type,run_id
49,2,0.13761,0.95664,0.956758,0.967768,0.95664,0.277932,0.919,0.914462,0.93631,0.919,0.258263,0.9197,0.914733,0.936737,0.9197,valid,2021,0.2,bert-base-chinese,100,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
50,1,0.327322,0.8987,0.896709,0.916584,0.8987,0.206781,0.9364,0.935242,0.953967,0.9364,0.214518,0.9306,0.928606,0.947102,0.9306,valid,2021,0.2,bert-base-chinese,100,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
51,3,0.095111,0.9698,0.969565,0.977292,0.9698,0.271971,0.9254,0.923158,0.945218,0.9254,0.24776,0.9297,0.927501,0.947399,0.9297,valid,2020,0.2,bert-base-chinese,100,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
52,2,0.136062,0.95746,0.957153,0.967899,0.95746,0.237691,0.9346,0.932655,0.951021,0.9346,0.237145,0.9286,0.924976,0.942474,0.9286,valid,2020,0.2,bert-base-chinese,100,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
53,1,0.332171,0.89662,0.89426,0.913822,0.89662,0.244852,0.9254,0.922694,0.941537,0.9254,0.23825,0.9235,0.920633,0.940935,0.9235,valid,2020,0.2,bert-base-chinese,100,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
54,3,0.09534,0.96942,0.969285,0.977106,0.96942,0.231182,0.9358,0.934368,0.952105,0.9358,0.219428,0.9357,0.934379,0.951241,0.9357,valid,42,0.2,bert-base-chinese,100,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
55,2,0.137288,0.95686,0.95681,0.967824,0.95686,0.234064,0.9338,0.931977,0.951257,0.9338,0.223203,0.9332,0.931128,0.949323,0.9332,valid,42,0.2,bert-base-chinese,100,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
56,1,0.336254,0.89546,0.892804,0.912787,0.89546,0.244183,0.9274,0.925965,0.947859,0.9274,0.226308,0.9309,0.928289,0.946565,0.9309,valid,42,0.2,bert-base-chinese,100,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
57,7,0.123867,0.9637,0.963412,0.97291,0.9637,0.558123,0.8858,0.879744,0.912272,0.8858,0.436954,0.911,0.908956,0.933325,0.911,valid,4,0.2,bert-base-chinese,100,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
58,6,0.136857,0.9595,0.959258,0.970134,0.9595,0.585306,0.8768,0.867393,0.903411,0.8768,0.472608,0.8937,0.888216,0.917545,0.8937,valid,4,0.2,bert-base-chinese,100,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
