,arch_type,seed,base,variant_name,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,val_doc_entropy,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,test_doc_entropy,dropout_rate,embedding_type,max_length,head_num,calculate_entropy,with_gru,run_id,head_dim
241,BiAttentionClassifyModel,4.0,0.0,base,0.60146,0.794064,0.786181,0.810204,0.794064,3.783923,0.590082,0.801503,0.794659,0.814695,0.801503,3.791009,0.2,glove,256.0,20.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
242,BiAttentionClassifyModel,25.0,0.0,base,0.603388,0.797898,0.788,0.810495,0.797898,3.921989,0.601047,0.799049,0.788954,0.80729,0.799049,3.930341,0.2,glove,256.0,20.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
243,BiAttentionClassifyModel,2021.0,0.0,base,0.616513,0.791839,0.789498,0.816221,0.791839,3.635225,0.60434,0.800813,0.798888,0.824669,0.800813,3.642345,0.2,glove,256.0,20.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
244,BiAttentionClassifyModel,2020.0,0.0,base,0.612735,0.795367,0.79271,0.819574,0.795367,3.938968,0.606747,0.799126,0.797305,0.822824,0.799126,3.947575,0.2,glove,256.0,20.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
245,BiAttentionClassifyModel,42.0,0.0,base,0.605574,0.796134,0.789505,0.812255,0.796134,4.001705,0.598601,0.798435,0.792671,0.815719,0.798435,4.010434,0.2,glove,256.0,20.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
246,PretrainedBaseline,4.0,0.0,,0.578156,0.803574,0.799221,0.823618,0.803574,,0.580476,0.805952,0.801546,0.824426,0.805952,,0.2,distilbert-base-uncased,256.0,,,,MIND15/keep_all/PretrainedBaseline,
247,PretrainedBaseline,25.0,0.0,,0.581175,0.798819,0.790008,0.812387,0.798819,,0.577936,0.808253,0.800552,0.822729,0.808253,,0.2,distilbert-base-uncased,256.0,,,,MIND15/keep_all/PretrainedBaseline,
248,PretrainedBaseline,2021.0,0.0,,0.569552,0.799893,0.794081,0.817493,0.799893,,0.568679,0.802117,0.797553,0.822863,0.802117,,0.2,distilbert-base-uncased,256.0,,,,MIND15/keep_all/PretrainedBaseline,
249,PretrainedBaseline,2020.0,0.0,,0.582834,0.799739,0.797669,0.824688,0.799739,,0.572054,0.801733,0.800027,0.827016,0.801733,,0.2,distilbert-base-uncased,256.0,,,,MIND15/keep_all/PretrainedBaseline,
250,PretrainedBaseline,42.0,0.0,,0.586907,0.798052,0.796069,0.823736,0.798052,,0.581322,0.800583,0.798745,0.826217,0.800583,,0.2,distilbert-base-uncased,256.0,,,,MIND15/keep_all/PretrainedBaseline,
251,PretrainedBaseline,4.0,0.0,,0.625092,0.789845,0.785925,0.810965,0.789845,,0.624577,0.789538,0.785594,0.810711,0.789538,,0.2,distilbert-base-uncased,100.0,,,,MIND15/keep_all/PretrainedBaseline,
252,PretrainedBaseline,25.0,0.0,,0.690954,0.782942,0.779286,0.80575,0.782942,,0.685577,0.787237,0.78481,0.810888,0.787237,,0.2,distilbert-base-uncased,100.0,,,,MIND15/keep_all/PretrainedBaseline,
253,PretrainedBaseline,2021.0,0.0,,0.628062,0.78624,0.781819,0.807335,0.78624,,0.62587,0.790229,0.786106,0.811421,0.790229,,0.2,distilbert-base-uncased,100.0,,,,MIND15/keep_all/PretrainedBaseline,
254,PretrainedBaseline,2020.0,0.0,,0.632713,0.783632,0.783306,0.812773,0.783632,,0.626024,0.78555,0.785646,0.815785,0.78555,,0.2,distilbert-base-uncased,100.0,,,,MIND15/keep_all/PretrainedBaseline,
255,PretrainedBaseline,42.0,0.0,,0.634186,0.782712,0.777934,0.80435,0.782712,,0.62695,0.786394,0.781077,0.806792,0.786394,,0.2,distilbert-base-uncased,100.0,,,,MIND15/keep_all/PretrainedBaseline,
256,BiAttentionClassifyModel,42.0,0.0,base,0.587207,0.802884,0.799559,0.824571,0.802884,4.303438,0.58233,0.806489,0.804095,0.829669,0.806489,4.310122,0.2,distilbert-base-uncased,100.0,24.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,32.0
257,BiAttentionClassifyModel,42.0,0.0,base,0.581034,0.804648,0.801396,0.826372,0.804648,4.472325,0.577589,0.806872,0.804799,0.829962,0.806872,4.479376,0.2,distilbert-base-uncased,100.0,24.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,32.0
258,BiAttentionClassifyModel,2020.0,0.0,base,0.577745,0.808406,0.800612,0.823009,0.808406,4.949273,0.568034,0.812931,0.805122,0.826729,0.812931,4.96012,0.2,distilbert-base-uncased,256.0,24.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,32.0
259,BiAttentionClassifyModel,42.0,0.0,base,0.55982,0.811321,0.808597,0.834008,0.811321,4.870737,0.556226,0.817994,0.815426,0.840303,0.817994,4.882038,0.2,distilbert-base-uncased,256.0,24.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,32.0
260,BiAttentionClassifyModel,42.0,0.0,base,0.58736,0.803497,0.799694,0.824731,0.803497,4.11114,0.582415,0.807409,0.80479,0.830812,0.807409,4.118702,0.2,distilbert-base-uncased,100.0,24.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,32.0
261,BiAttentionClassifyModel,42.0,0.0,base,0.611152,0.792453,0.792272,0.8214,0.792453,3.263538,0.606712,0.794524,0.795524,0.826079,0.794524,3.272146,0.2,distilbert-base-uncased,100.0,24.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,32.0
262,BiAttentionClassifyModel,42.0,0.0,base,0.557437,0.813162,0.811409,0.836741,0.813162,,0.556172,0.814005,0.812156,0.837251,0.814005,,0.2,distilbert-base-uncased,256.0,24.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,32.0
263,BiAttentionClassifyModel,42.0,0.0,base,0.557437,0.813162,0.811409,0.836741,0.813162,5.243443,0.556172,0.814005,0.812156,0.837251,0.814005,5.253801,0.2,distilbert-base-uncased,256.0,24.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,32.0
264,BiAttentionClassifyModel,42.0,0.0,base,0.618231,0.791532,0.790953,0.820349,0.791532,4.157452,0.616561,0.790535,0.79088,0.82093,0.790535,4.166,0.2,distilbert-base-uncased,100.0,24.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,32.0
265,BiAttentionClassifyModel,42.0,0.0,base,0.590083,0.805798,0.804105,0.831693,0.805798,4.495676,0.586867,0.805645,0.803466,0.828972,0.805645,4.502696,0.2,distilbert-base-uncased,100.0,24.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,32.0
266,BiAttentionClassifyModel,42.0,0.0,base,0.594688,0.800046,0.7975,0.823312,0.800046,4.494017,0.604391,0.794294,0.793619,0.822675,0.794294,4.501018,0.2,distilbert-base-uncased,100.0,60.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
267,BiAttentionClassifyModel,25.0,0.0,base,0.614992,0.79414,0.789456,0.814576,0.79414,3.980263,0.619819,0.795674,0.79165,0.816986,0.795674,3.984357,0.2,distilbert-base-uncased,100.0,60.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
268,BiAttentionClassifyModel,2021.0,0.0,base,0.607012,0.794217,0.789816,0.81513,0.794217,4.199494,0.604569,0.795214,0.790823,0.815244,0.795214,4.205788,0.2,distilbert-base-uncased,100.0,60.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
269,BiAttentionClassifyModel,2020.0,0.0,base,0.596969,0.794907,0.789275,0.81449,0.794907,4.055113,0.603441,0.791839,0.786947,0.811762,0.791839,4.059349,0.2,distilbert-base-uncased,100.0,60.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
