,epoch,loss,accuracy,macro_f,precision,recall,doc_entropy,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,val_doc_entropy,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,test_doc_entropy,split,seed,dropout_rate,embedding_type,max_length,head_num,arch_type,calculate_entropy,with_gru,run_id,entropy_constraint,head_dim,variant_name
59,1,0.689622,0.763862,0.75132,0.773238,0.763862,4.584951,0.587469,0.790459,0.785914,0.810735,0.790459,4.822261,0.584164,0.79414,0.792551,0.819486,0.79414,4.834517,valid,2021,0.2,roberta-base,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
60,1,0.731831,0.756271,0.739099,0.757413,0.756271,3.793173,0.651374,0.783246,0.778004,0.80384,0.783246,4.284901,0.651856,0.788084,0.786189,0.812893,0.788084,4.29925,valid,5,0.2,glove,256,60,BiAttentionClassifyModel,1,gru_attn,MIND15/keep_all/BiAttentionClassifyModel,,,
61,2,0.484911,0.831676,0.826039,0.847182,0.831676,4.691785,0.576979,0.798896,0.793208,0.817069,0.798896,4.955831,0.570621,0.805492,0.800574,0.824361,0.805492,4.968204,valid,5,0.2,glove,256,160,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
62,1,0.695581,0.766143,0.751344,0.77059,0.766143,4.245611,0.626453,0.784553,0.788146,0.826282,0.784553,4.777371,0.627819,0.784323,0.791158,0.836145,0.784323,4.789597,valid,5,0.2,glove,256,160,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
63,2,0.485086,0.832041,0.826461,0.84804,0.832041,4.663257,0.564143,0.805031,0.802124,0.827472,0.805031,4.901742,0.560864,0.806872,0.803138,0.827837,0.806872,4.9138,valid,40,0.2,glove,256,160,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
64,1,0.694101,0.765856,0.751578,0.771229,0.765856,4.191219,0.594016,0.792376,0.783405,0.804712,0.792376,4.741058,0.593712,0.798819,0.791318,0.814254,0.798819,4.752735,valid,40,0.2,glove,256,160,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
65,2,0.487417,0.829711,0.823625,0.844404,0.829711,4.657525,0.56723,0.799663,0.795459,0.82341,0.799663,4.917153,0.554066,0.80902,0.803546,0.8269,0.80902,4.928884,valid,2020,0.2,glove,256,160,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
66,1,0.69542,0.7646,0.750135,0.77012,0.7646,4.220857,0.585139,0.792453,0.77846,0.798136,0.792453,4.764271,0.581439,0.799356,0.78599,0.800361,0.799356,4.775431,valid,2020,0.2,glove,256,160,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
67,2,0.487997,0.829327,0.823691,0.845674,0.829327,4.753236,0.577146,0.799279,0.798539,0.828054,0.799279,4.989107,0.566102,0.806872,0.805046,0.829925,0.806872,5.000818,valid,42,0.2,glove,256,160,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
68,1,0.695407,0.765233,0.750338,0.769746,0.765233,4.251127,0.597261,0.790075,0.772301,0.791231,0.790075,4.819916,0.59058,0.791379,0.775814,0.796743,0.791379,4.831715,valid,42,0.2,glove,256,160,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
69,2,0.484075,0.831667,0.826206,0.848357,0.831667,4.66386,0.565178,0.80204,0.792892,0.814152,0.80204,4.927711,0.556517,0.808176,0.800824,0.821216,0.808176,4.939296,valid,2021,0.2,glove,256,160,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
70,1,0.695062,0.764926,0.750295,0.770238,0.764926,4.266921,0.572464,0.799816,0.790251,0.8111,0.799816,4.763935,0.569148,0.804034,0.796756,0.819891,0.804034,4.775812,valid,2021,0.2,glove,256,160,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
71,2,0.48605,0.829912,0.824326,0.846388,0.829912,4.561838,0.568287,0.801273,0.792664,0.814318,0.801273,4.844625,0.554028,0.80994,0.802733,0.822462,0.80994,4.855975,valid,5,0.2,glove,256,140,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
72,1,0.697064,0.764168,0.749851,0.770392,0.764168,4.193439,0.592636,0.787851,0.774032,0.793827,0.787851,4.722773,0.586099,0.792683,0.780108,0.799323,0.792683,4.735963,valid,5,0.2,glove,256,140,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
73,2,0.4845,0.831226,0.825741,0.847202,0.831226,4.660065,0.569396,0.802807,0.798667,0.823279,0.802807,4.917313,0.559691,0.80994,0.806913,0.82951,0.80994,4.929647,valid,40,0.2,glove,256,140,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
74,1,0.69348,0.766489,0.752295,0.772611,0.766489,4.197808,0.592263,0.792683,0.784459,0.809692,0.792683,4.790831,0.588136,0.795214,0.788184,0.812746,0.795214,4.802762,valid,40,0.2,glove,256,140,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
75,2,0.490379,0.828464,0.823071,0.844988,0.828464,4.581535,0.57254,0.80227,0.789187,0.806847,0.80227,4.896777,0.565269,0.804188,0.791568,0.809368,0.804188,4.907374,valid,2020,0.2,glove,256,140,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
76,1,0.698959,0.764053,0.749594,0.769688,0.764053,4.094064,0.581858,0.799969,0.79654,0.822475,0.799969,4.659851,0.57674,0.8025,0.800117,0.824727,0.8025,4.670559,valid,2020,0.2,glove,256,140,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
77,2,0.487847,0.82995,0.824097,0.845631,0.82995,4.602078,0.563895,0.803037,0.798979,0.825363,0.803037,4.857161,0.550967,0.812088,0.809112,0.833829,0.812088,4.87065,valid,42,0.2,glove,256,140,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
78,1,0.700705,0.763833,0.749544,0.769652,0.763833,4.127434,0.579739,0.796288,0.791486,0.815643,0.796288,4.70372,0.575672,0.800123,0.795275,0.820913,0.800123,4.716876,valid,42,0.2,glove,256,140,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
79,1,0.700705,0.763833,0.749544,0.769652,0.763833,4.127434,0.579739,0.796288,0.791486,0.815643,0.796288,4.70372,0.575672,0.800123,0.795275,0.820913,0.800123,4.716876,valid,42,0.2,glove,256,140,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
80,2,0.502827,0.826662,0.820818,0.842525,0.826662,4.68645,0.59132,0.797055,0.787458,0.80849,0.797055,4.945367,0.588269,0.798359,0.789664,0.811071,0.798359,4.956085,valid,2021,0.2,glove,256,140,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
81,1,0.693952,0.764993,0.750472,0.769868,0.764993,4.232481,0.591243,0.790229,0.78106,0.803684,0.790229,4.748357,0.579139,0.798052,0.78792,0.805967,0.798052,4.76172,valid,2021,0.2,glove,256,140,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
82,2,0.487721,0.829998,0.824016,0.845243,0.829998,4.608423,0.557252,0.802347,0.799866,0.824716,0.802347,4.86901,0.552557,0.80879,0.806761,0.831175,0.80879,4.880138,valid,5,0.2,glove,256,120,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
83,1,0.694911,0.765079,0.750842,0.770552,0.765079,4.215551,0.597192,0.793143,0.784727,0.804887,0.793143,4.72229,0.586228,0.797822,0.791886,0.81395,0.797822,4.733732,valid,5,0.2,glove,256,120,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
